Tissu,Voxels,Volume (mm³),% cerveau
Cerveau total,168849,353186.28,100.0
LCR / ventricules,78777,164780.1,46.7
Vaisseaux / hyper-intenses,8545,17873.82,5.1
Substance grise,50978,106632.14,30.2
Substance blanche,30549,63900.22,18.1
